Cow,ID_Cow_Bracelet_Podometer,Patio,Gynecological_Status,Birth_Date,Daily_Production,Average_Daily_Production_Days,Average_Daily_Production_Percentage,Lactation_Number,Milk_Days,Days_After_Heat,Insemination,Days_After_Insemination,Pregnacy_Days,Inseminator_Name,Bull_Name,Number_of_Abortions,Insemination_Date,Production_Peak,Previous_Lactation_Production,Actual_Lactation_Production
5,1519,26,Pregnacy,8/27/2021,29.2,29.9,-2,4,222,139,2,139,139,CARLOS-URIEL,EXPO,0,11/18/2021,50.3,9269,7491
9,5471,24,Pregnacy,9/8/2021,34.6,34.4,1,4,210,132,2,132,132,CARLOS-URIEL,MARADONA,0,11/25/2021,39.1,8048,6798
16,2285,21,Labor,3/17/2022,44.3,44.3,0,4,20,0,0,0,0,0,0,0,0,0,10529,732
27,6079,21,Labor,4/1/2022,41.1,0,0,3,5,0,0,0,0,0,0,0,0,0,11448,41
121,7750,17,Pregnacy,12/11/2021,51.9,50.6,3,7,116,61,1,61,61,CARLOS-JEHU,KEYNOTE,0,2/4/2022,0,11486,5504
190,7686,13,Pregnacy,12/10/2020,9.9,0,0,6,482,173,5,173,173,DAVID-MANUEL,OLAF,0,10/15/2021,43.4,11756,15308
219,5478,20,Labor,2/3/2022,44.5,44.7,0,7,62,0,0,0,0,0,0,0,0,0,11127,2614
222,6280,17,Pregnacy,11/23/2021,57.6,57.5,0,7,134,75,1,75,75,CARLOS-JEHU,KEYNOTE,0,1/21/2022,0,13675,6171
229,8003,18,Insemination,12/25/2021,45.7,42.7,7,7,102,19,1,19,0,CARLOS-JEHU,FASTDRAW,0,3/18/2022,0,10201,4385
254,7227,28,Pregnacy,7/28/2021,40.1,39.6,1,6,252,85,4,85,85,ROBERTO-MANUEL,MUSTSEE,0,1/11/2022,46.6,14750,9854
297,5503,19,Insemination,1/11/2022,47.5,47.7,0,7,85,13,2,13,0,CARLOS-JEHU,FALCO,0,3/24/2022,0,8402,3504
299,2314,24,Pregnacy,9/24/2021,52,51.5,1,5,194,64,3,64,64,ROBERTO-MANUEL,EXPO,0,2/1/2022,59.7,25912,9297
301,473,26,Pregnacy,8/13/2021,35.2,32.4,9,7,236,130,2,130,130,CARLOS-URIEL,EXPO,0,11/27/2021,40.4,9632,8199
437,6959,20,Heat,2/18/2022,63.4,60.2,5,6,47,4,0,0,0,0,0,0,0,0,19701,2169
465,5859,20,Labor,2/6/2022,53.5,53.4,0,7,59,0,0,0,0,0,0,0,0,0,13381,1891
508,6198,17,Pregnacy,11/23/2021,46.7,46.1,1,7,134,66,1,66,66,CARLOS-JEHU,MUSTSEE,0,1/30/2022,0,10510,5919
557,6582,13,Pregnacy,12/30/2020,0,0,0,6,462,216,5,216,216,CARLOS-JEHU,SILVER INFOCUS,0,9/2/2021,51.4,11996,13339
585,954,25,Insemination,9/30/2021,37.4,33.3,12,6,188,5,5,5,0,DAVID-ADAN,FALCO,0,4/1/2022,41.6,14194,6833
619,1022,30,No_Inseminate,8/24/2021,29.8,30.4,-2,6,225,123,1,123,0,JUAN DELGADO-JAIME,VIEWPOINT,0,12/4/2021,43.5,9625,8002
623,5376,15,Pregnacy,11/1/2021,37.8,40.4,-6,7,156,97,1,97,97,CARLOS-JEHU,KEYNOTE,0,12/30/2021,46.7,9900,5836
629,7169,13,Pregnacy,1/25/2021,16.5,16.5,0,6,436,158,7,158,158,ROBERTO-URIEL,SILVER INFOCUS,1,10/30/2021,49.5,12538,13942
700,7241,24,Pregnacy,9/13/2021,44.2,41,8,7,205,81,2,81,81,CARLOS-URIEL,MARADONA,0,1/15/2022,44.1,11399,8094
759,8000,22,Labor,2/12/2022,57.8,52.4,10,6,53,0,0,0,0,0,0,0,0,0,13128,2346
857,5081,13,Pregnacy,1/9/2021,21.2,24.7,-14,5,452,155,8,155,155,ROBERTO-MANUEL,INFOCUS GOLD,0,11/2/2021,0,9692,12879
873,6606,26,Insemination,8/24/2021,35.3,36.6,-4,6,225,5,6,5,0,DAVID-ADAN,SCORPIO,0,4/1/2022,50.1,12046,8677
901,1206,23,Insemination,10/12/2021,46,45.9,0,7,176,11,3,11,0,ROBERTO-DAVID,INFOCUS GOLD,0,3/26/2022,0,11633,5961
975,5331,15,Insemination,10/24/2021,37.2,38.9,-4,6,164,31,3,31,0,CARLOS-JEHU,EXPO,0,3/6/2022,0,9041,4653
991,5611,29,Pregnacy,6/9/2021,8.9,30,-70,6,301,140,3,140,140,CARLOS-URIEL,SILVER INFOCUS,0,11/17/2021,55.2,13527,11579
993,3467,24,Pregnacy,9/22/2021,46.1,48.2,-4,5,196,94,2,94,94,ROBERTO-MANUEL,MUSTSEE,0,1/2/2022,56.5,22550,9487
1036,2885,29,Insemination,7/6/2021,39.9,37.6,6,4,274,29,6,29,0,CARLOS-JEHU,INFOCUS GOLD,0,3/8/2022,51.7,19318,11217
1151,462,19,Insemination,1/9/2022,43.8,44.1,-1,6,87,10,2,10,0,CARLOS-JEHU,MUSTSEE,0,3/27/2022,0,11428,3481
1234,3494,18,Insemination,11/29/2021,43.5,43.6,0,5,128,40,1,40,0,CARLOS-JEHU,FASTDRAW,0,2/25/2022,0,11764,5208
1244,5493,15,Insemination,11/11/2021,49.4,40.3,22,6,146,25,2,25,0,CARLOS-MAURICIO,FALCO,0,3/12/2022,0,10795,6605
1249,7098,19,Insemination,1/12/2022,50.1,51.1,-2,5,84,30,1,30,0,ROBERTO-DAVID,INFOCUS GOLD,0,3/7/2022,0,12112,3640
1255,7976,18,Insemination,12/28/2021,55.8,56.7,-2,5,99,26,2,26,0,CARLOS-JEHU,MUSTSEE,0,3/11/2022,0,11759,5011
1262,6407,27,Pregnacy,8/10/2021,38.9,40.6,-4,5,239,61,5,61,61,DAVID-MANUEL,INFOCUS GOLD,0,2/4/2022,50.5,11116,10078
1307,7548,13,Pregnacy,4/13/2021,12.4,14.5,-15,5,358,188,3,188,188,JORGE-JEHU,POPSTAR,0,9/30/2021,52.2,17338,13229
1354,5142,18,Insemination,12/23/2021,48,46.4,3,6,104,18,1,18,0,CARLOS-URIEL,MUSTSEE,0,3/19/2022,0,12241,4332
1362,5397,30,Pregnacy,9/2/2020,10.9,9.1,20,5,581,139,1,139,139,CARLOS-URIEL,MARADONA,0,11/18/2021,0,10046,908
1422,1967,23,Pregnacy,10/12/2021,42.9,40.3,7,4,176,102,1,102,102,CARLOS-URIEL,MUSTSEE,0,12/25/2021,0,11539,5476
1437,4926,18,Pregnacy,1/2/2022,45.5,46.8,-3,5,94,41,1,41,41,CARLOS-JEHU,KEYNOTE,0,2/24/2022,0,9700,3709
1441,6486,26,Pregnacy,8/25/2021,27,29.8,-9,6,224,79,4,79,79,URIEL-JEHU,INFOCUS GOLD,0,1/17/2022,50,10185,8072
1455,5529,20,Insemination,2/1/2022,58.1,57.4,1,5,64,14,1,14,0,ROBERTO-DAVID,FALCO,0,3/23/2022,0,10623,3161
1456,13,19,Labor,1/28/2022,42.3,46.2,-8,6,68,0,0,0,0,0,0,0,0,0,12340,2507
1474,7697,15,Pregnacy,11/9/2021,52,50.4,3,6,148,66,2,66,66,CARLOS-JEHU,FASTDRAW,0,1/30/2022,0,9486,6158
1484,7721,20,Heat,2/20/2022,55.8,52.1,7,4,45,21,0,0,0,0,0,0,0,0,10532,1852
1504,2613,19,Insemination,1/17/2022,49.1,48.4,1,4,79,27,1,27,0,DAVID-MANUEL,FASTDRAW,0,3/10/2022,0,11911,3452
1507,391,26,Insemination,8/31/2021,34.2,34.1,0,4,218,9,5,9,0,ROBERTO-DAVID,FALCO,0,3/28/2022,46.7,9769,8268
1509,5466,3,Insemination,9/10/2021,31.9,33.4,-4,5,208,21,6,21,0,ROBERTO-MANUEL,INFOCUS GOLD,0,3/16/2022,48.2,10532,8309
1527,6492,28,Pregnacy,7/16/2021,42.5,42.1,1,5,264,123,2,123,123,CARLOS-URIEL,EXPO,1,12/4/2021,52.4,14792,12009
1531,7376,22,Pregnacy,3/19/2021,29,27.3,6,5,383,178,4,178,178,CARLOS-JEHU,POPSTAR,1,10/10/2021,51.1,12686,14137
