,id,lactation_1,lactation_2,lactation_3,lactation_4,lactation_5,lactation_6,lactation_7,lactation_8,lactation_9,total_production_1,total_production_2,total_production_3,total_production_4,total_production_5,total_production_6,total_production_7,total_production_8,total_production_9,milk_days_1,milk_days_2,milk_days_3,milk_days_4,milk_days_5,milk_days_6,milk_days_7,milk_days_8,milk_days_9,abortos_Lac_1,abortos_lac_2,abortos_lac_3,abortos_lac_4,abortos_lac_5,abortos_lac_6,abortos_lac_7,abortos_lac_8,abortos_lac_9
0,5,1,1,1,1,0,0,0,0,0,7817,9123,9129,8432,0,0,0,0,0,288,319,271,263,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
1,9,1,1,1,1,0,0,0,0,0,7793,10019,7907,8079,0,0,0,0,0,290,322,272,251,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1
2,16,1,1,1,1,0,0,0,0,0,10402,10293,10363,2655,0,0,0,0,0,340,392,310,61,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
3,27,1,1,1,0,0,0,0,0,0,9367,11250,2090,0,0,0,0,0,0,334,403,46,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
4,121,1,1,1,1,1,1,1,0,0,11491,12403,13318,12331,12893,11326,7259,0,0,343,294,342,301,349,303,157,0,0,0,0,0,0,0,0,0,-1,-1
5,160,1,1,1,1,1,0,0,0,0,14931,10918,14033,15870,14493,0,0,0,0,501,291,404,470,453,0,0,0,0,1,0,0,0,0,0,-1,-1,-1
6,190,1,1,1,1,1,1,0,0,0,16175,12455,11677,11362,11609,15110,0,0,0,538,304,287,281,275,523,0,0,0,1,0,0,0,0,0,-1,-1,-1
7,219,1,1,1,1,1,1,1,0,0,12709,9773,11566,11686,12511,10953,4180,0,0,401,271,295,299,402,327,103,0,0,0,0,0,0,0,0,0,-1,-1
8,222,1,1,1,1,1,1,1,0,0,12435,12122,12010,15109,13175,13500,8120,0,0,352,344,276,341,309,338,175,0,0,0,0,0,0,0,0,0,-1,-1
9,229,1,1,1,1,1,1,1,0,0,10468,9924,9903,11367,11303,10000,6064,0,0,291,283,315,371,321,388,143,0,0,0,0,0,0,0,0,0,-1,-1
10,252,1,1,1,1,1,1,0,0,0,14952,13743,13280,12178,17412,0,0,0,0,497,459,354,324,535,12,0,0,0,0,0,0,0,1,0,-1,-1,-1
11,254,1,1,1,1,1,1,0,0,0,13995,10299,12325,12981,14515,11180,0,0,0,457,264,322,336,443,293,0,0,0,1,0,0,0,0,1,-1,-1,-1
12,297,1,1,1,1,1,1,1,0,0,7510,9105,11698,10914,11609,8258,5316,0,0,298,389,382,287,346,287,126,0,0,0,1,0,0,0,0,0,-1,-1
13,301,1,1,1,1,1,1,1,0,0,9453,10017,11307,11154,10208,9490,9377,0,0,271,288,341,293,282,272,277,0,0,0,0,0,0,0,0,0,-1,-1
14,437,1,1,1,1,1,1,0,0,0,8770,5769,13883,20135,19414,4577,0,0,0,264,391,326,519,596,88,0,0,0,0,0,0,0,0,0,-1,-1,-1
15,465,1,1,1,1,1,1,1,0,0,8466,15642,12983,13303,15832,13137,3968,0,0,270,392,300,321,347,467,100,0,0,0,0,0,0,0,0,0,-1,-1
16,508,1,1,1,1,1,1,1,0,0,8499,9547,11434,10426,10587,10345,7483,0,0,312,339,354,297,287,329,175,0,0,0,0,0,0,0,0,0,-1,-1
17,557,1,1,1,1,1,1,0,0,0,10952,9101,9355,10792,11816,13121,0,0,0,376,284,283,307,356,461,0,0,0,1,0,0,0,0,0,-1,-1,-1
18,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
19,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,-1,-1
20,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
21,629,1,1,1,1,1,1,0,0,0,9802,11865,10376,11173,12365,14077,0,0,0,320,421,269,281,333,477,0,0,0,0,0,0,0,0,1,-1,-1,-1
22,660,1,1,1,1,1,1,1,0,0,8551,10293,14263,13964,15028,13143,0,0,0,269,272,350,335,423,377,14,0,0,0,0,0,0,1,0,0,-1,-1
23,700,1,1,1,1,1,1,1,0,0,12764,10465,10389,12515,6039,11253,9581,0,0,391,276,291,305,300,286,246,0,0,0,0,0,0,0,0,0,-1,-1
24,759,1,1,1,1,1,1,0,0,0,13754,13686,15843,16781,12954,4387,0,0,0,401,328,439,436,341,94,0,0,0,0,0,0,0,0,0,-1,-1,-1
25,857,1,1,1,1,1,0,0,0,0,16124,14110,11601,9530,13513,0,0,0,0,609,409,281,314,493,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1
26,873,1,1,1,1,1,1,0,0,0,10083,11561,10897,10271,11823,9935,0,0,0,428,375,278,272,447,266,0,0,0,0,0,0,0,1,0,-1,-1,-1
27,901,1,1,1,1,1,1,1,0,0,10351,10429,10396,10921,11988,11463,7626,0,0,308,292,279,312,352,324,217,0,0,0,0,0,0,0,0,0,-1,-1
