"vaca","estado","estado_ginecol","fecha_de_naci","lact_n","del","inseminacion_lac_1","inseminacion_lac_2","inseminacion_lac_3","inseminacion_lac_4","inseminacion_lac_5","inseminacion_lac_6","inseminacion_lac_7","inseminacion_lac_8","inseminacion_lac_9"
5,"ordeno","prenez","9/16/2016",4,270,1,3,1,2,-1,-1,-1,-1,-1
9,"ordeno","celo","10/11/2016",4,258,1,3,1,2,-1,-1,-1,-1,-1
16,"ordeno","parto","11/15/2016",4,68,2,2,1,0,-1,-1,-1,-1,-1
27,"ordeno","celo","12/4/2017",3,53,2,5,0,-1,-1,-1,-1,-1,-1
121,"ordeno","prenez","8/6/2013",7,164,4,2,4,2,2,3,1,-1,-1
160,"ordeno","parto","8/19/2013",6,7,8,1,5,7,8,0,-1,-1,-1
190,"seca","prenez","8/24/2013",6,524,5,2,1,1,1,5,-1,-1,-1
219,"ordeno","parto","8/30/2013",7,110,5,1,1,2,3,1,0,-1,-1
222,"ordeno","prenez","8/31/2013",7,182,5,4,1,3,2,3,1,-1,-1
229,"ordeno","prenez","9/2/2013",7,150,2,2,2,7,3,2,1,-1,-1
252,"ordeno","parto","9/5/2013",6,19,9,6,4,3,10,0,-1,-1,-1
254,"ordeno","inseminacion","9/5/2013",6,300,6,1,2,3,7,5,-1,-1,-1
297,"ordeno","prenez","9/17/2013",7,133,2,4,4,1,3,2,2,-1,-1
301,"ordeno","prenez","9/17/2013",7,284,1,3,4,2,1,1,2,-1,-1
437,"ordeno","inseminacion","10/13/2013",6,95,1,2,2,8,5,1,-1,-1,-1
465,"ordeno","inseminacion","10/18/2013",7,107,1,6,2,2,3,6,1,-1,-1
508,"ordeno","prenez","10/23/2013",7,182,3,4,3,1,1,3,1,-1,-1
557,"seca","prenez","11/1/2013",6,462,2,1,1,2,3,5,-1,-1,-1
585,"ordeno","celo","11/7/2013",6,236,1,4,2,4,6,6,-1,-1,-1
619,"ordeno","para_no_inseminar","11/16/2013",6,273,1,6,7,2,1,1,-1,-1,-1
623,"ordeno","prenez","11/17/2013",7,204,4,1,3,1,2,1,1,-1,-1
629,"ordeno","prenez","11/19/2013",6,484,3,2,1,1,2,7,-1,-1,-1
660,"ordeno","parto","11/24/2013",7,21,1,1,3,2,4,3,0,-1,-1
700,"ordeno","prenez","12/5/2013",7,253,3,1,1,2,1,1,2,-1,-1
759,"ordeno","pd-inseminacion","12/18/2013",6,101,3,2,4,3,2,1,-1,-1,-1
