index,cow,Status,gynecological_status,patio,given_birthdate,lactation,milk_days,number_mastitis_lactation_1,number_mastitis_lactation_2,number_mastitis_lactation_3,number_mastitis_lactation_4,number_mastitis_lactation_5,number_mastitis_lactation_6,number_mastitis_lactation_7,number_mastitis_lactation_8,number_mastitis_lactation_9
1,5,milking,pregnacy,13,9/16/2016,4,265,0,0,0,0,0,0,0,0,0
2,9,milking,heat,24,10/11/2016,4,253,0,0,0,0,0,0,0,0,0
3,16,milking,labor,19,11/15/2016,4,63,0,0,0,0,0,0,0,0,0
4,27,milking,heat,20,12/4/2017,3,48,0,0,0,0,0,0,0,0,0
5,121,milking,pregnacy,15,8/6/2013,7,159,0,0,0,0,1,0,0,0,0
6,160,milking,labor,21,8/19/2013,6,2,0,0,0,0,0,0,0,0,0
7,190,dry,pregnacy,84,8/24/2013,6,524,0,0,1,0,0,0,0,0,0
8,219,milking,labor,18,8/30/2013,7,105,0,0,1,1,2,0,0,0,0
9,222,milking,pregnacy,15,8/31/2013,7,177,0,0,0,2,0,0,0,0,0
10,229,milking,pregnacy,17,9/2/2013,7,145,0,0,0,0,1,1,0,0,0
11,252,milking,labor,21,9/5/2013,6,14,0,0,0,1,1,0,0,0,0
12,254,milking,heat,26,9/5/2013,6,295,0,0,0,0,0,0,0,0,0
13,297,milking,pregnacy,17,9/17/2013,7,128,2,1,0,0,0,0,0,0,0
14,301,milking,pregnacy,13,9/17/2013,7,279,0,0,0,0,0,0,0,0,0
15,437,milking,insemination,19,10/13/2013,6,90,0,0,0,0,0,0,0,0,0
16,465,milking,insemination,20,10/18/2013,7,102,0,0,0,1,0,1,1,0,0
17,508,milking,pregnacy,15,10/23/2013,7,177,0,0,0,0,0,0,0,0,0
18,557,dry,pregnacy,1,11/1/2013,6,462,0,0,0,0,0,0,0,0,0
19,585,milking,heat,25,11/7/2013,6,231,0,1,0,2,1,0,0,0,0
20,619,milking,no_inseminate,26,11/16/2013,6,268,0,0,1,3,1,1,0,0,0
21,623,milking,pregnacy,14,11/17/2013,7,199,0,0,0,0,0,0,0,0,0
22,629,milking,pregnacy,13,11/19/2013,6,479,0,2,0,0,0,2,0,0,0
23,660,milking,labor,21,11/24/2013,7,16,0,0,0,0,0,0,0,0,0
24,700,milking,pregnacy,24,12/5/2013,7,248,0,0,0,0,1,0,0,0,0
25,759,milking,insemination,22,12/18/2013,6,96,0,0,2,1,2,0,0,0,0
