Daily_Production,Average_Daily_Production_Days,Average_Daily_Production_Percentage,Lactation_Number,Milk_Days,Days_After_Heat,Insemination,Days_After_Insemination,Pregnacy_Days,Number_of_Abortions,Production_Peak,Previous_Lactation_Production,Actual_Lactation_Production,Daily_Production_bool,given_birthdate_days,Gynecological_Status_Abortion,Gynecological_Status_Heat,Gynecological_Status_Insemination,Gynecological_Status_Labor,Gynecological_Status_No_Inseminate,Gynecological_Status_Pregnacy,Inseminator_Name_CARLOS-JAIME,Inseminator_Name_CARLOS-JEHU,Inseminator_Name_CARLOS-LUIS,Inseminator_Name_CARLOS-MANUEL,Inseminator_Name_CARLOS-MAURICIO,Inseminator_Name_CARLOS-URIEL,Inseminator_Name_DAVID-ADAN,Inseminator_Name_DAVID-JEHU,Inseminator_Name_DAVID-MANUEL,Inseminator_Name_DAVID-URIEL,Inseminator_Name_ELIVER-JEHU,Inseminator_Name_JORGE-JEHU,Inseminator_Name_JOSE JUAN-GERARDO,Inseminator_Name_JUAN DELGADO-JAIME,Inseminator_Name_JUAN DELGADO-JEHU,Inseminator_Name_JUAN DELGADO-MANUEL,Inseminator_Name_JUAN DELGADO-URIEL,Inseminator_Name_JUAN-BRUNO,Inseminator_Name_JUAN-MAURICIO,Inseminator_Name_MANUEL-MOISES,Inseminator_Name_MAURICIO-JAIME,Inseminator_Name_MAURICIO-JEHU,Inseminator_Name_MIGUEL-JAIME,Inseminator_Name_MIGUEL-MAURICIO,Inseminator_Name_MIGUEL-MOISES,Inseminator_Name_MIGUEL-URIEL,Inseminator_Name_MVZ ROGELIO-JAIME,Inseminator_Name_MVZ ROGELIO-JEHU,Inseminator_Name_MVZ ROGELIO-PABLO,Inseminator_Name_MVZ ROGELIO-URIEL,Inseminator_Name_N/A,Inseminator_Name_ROBERTO-ADAN,Inseminator_Name_ROBERTO-DAVID,Inseminator_Name_ROBERTO-MANUEL,Inseminator_Name_ROBERTO-MAURICIO,Inseminator_Name_ROBERTO-URIEL,Inseminator_Name_ROGELIO-MAURICIO,Inseminator_Name_URIEL-JEHU,bulls_name_1HO15524,bulls_name_29HO19282,bulls_name_29HO19624,bulls_name_29HO19691,bulls_name_501HO15427,bulls_name_AUZZI,bulls_name_BACKROAD,bulls_name_BACKROAD SEX.,bulls_name_BART,bulls_name_CHANDLER,bulls_name_CURFEW,bulls_name_CURFEW SEX.,bulls_name_DECLARATION,bulls_name_EXPO,bulls_name_EXPRESSO,bulls_name_FALCO,bulls_name_FASTDRAW,bulls_name_HEINSOHN,bulls_name_INFOCUS GOLD,bulls_name_KELLER,bulls_name_KEYNOTE,bulls_name_MARADONA,bulls_name_MAVERICK,bulls_name_MUSTSEE,bulls_name_N/A,bulls_name_OGDEN,bulls_name_OLAF,bulls_name_POPSTAR,bulls_name_POWE,bulls_name_RAYSHEN,bulls_name_RHETORIC,bulls_name_SCORPIO,bulls_name_SCRAPPLE,bulls_name_SILVER INFOCUS,bulls_name_TORETTO,bulls_name_TORRO,bulls_name_UNCHARTED,bulls_name_VIEWPOINT,bulls_name_WALLEN,bulls_name_WILD THING
29.2,29.9,-2,4,222,139,2,139,139,0,50.3,9269,7491,1.0,222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.6,34.4,1,4,210,132,2,132,132,0,39.1,8048,6798,1.0,210,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.3,44.3,0,4,20,0,0,0,0,0,0.0,10529,732,1.0,20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.1,0.0,0,3,5,0,0,0,0,0,0.0,11448,41,1.0,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.9,50.6,3,7,116,61,1,61,61,0,0.0,11486,5504,1.0,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.9,0.0,0,6,482,173,5,173,173,0,43.4,11756,15308,0.0,482,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.5,44.7,0,7,62,0,0,0,0,0,0.0,11127,2614,1.0,62,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57.6,57.5,0,7,134,75,1,75,75,0,0.0,13675,6171,1.0,134,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.7,42.7,7,7,102,19,1,19,0,0,0.0,10201,4385,1.0,102,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.1,39.6,1,6,252,85,4,85,85,0,46.6,14750,9854,1.0,252,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
