,id,lactation_1,lactation_2,lactation_3,total_production_1,total_production_2,total_production_3,milk_days_1,milk_days_2,milk_days_3,mastitis_lac_1,mastitis_lac_2,mastitis_lac_3,inseminacion_lac_1,inseminacion_lac_2,inseminacion_lac_3,abortos_Lac_1,abortos_lac_2,abortos_lac_3,production_ok
0,5,1,1,1,7817,9123,9129,288,319,271,0,0,0,1,3,1,0,0,0,0
1,9,1,1,1,7793,10019,7907,290,322,272,0,0,0,1,3,1,0,0,0,0
2,16,1,1,1,10402,10293,10363,340,392,310,0,0,0,2,2,1,0,0,0,1
3,27,1,1,1,9367,11250,2090,334,403,46,0,0,0,2,5,0,0,0,0,0
4,121,1,1,1,11491,12403,13318,343,294,342,0,0,0,4,2,4,0,0,0,1
5,160,1,1,1,14931,10918,14033,501,291,404,0,0,0,8,1,5,1,0,0,1
6,190,1,1,1,16175,12455,11677,538,304,287,0,0,1,5,2,1,1,0,0,1
7,219,1,1,1,12709,9773,11566,401,271,295,0,0,1,5,1,1,0,0,0,1
8,222,1,1,1,12435,12122,12010,352,344,276,0,0,0,5,4,1,0,0,0,1
9,229,1,1,1,10468,9924,9903,291,283,315,0,0,0,2,2,2,0,0,0,0
10,252,1,1,1,14952,13743,13280,497,459,354,0,0,0,9,6,4,0,0,0,1
11,254,1,1,1,13995,10299,12325,457,264,322,0,0,0,6,1,2,1,0,0,1
12,297,1,1,1,7510,9105,11698,298,389,382,2,1,0,2,4,4,0,1,0,1
13,301,1,1,1,9453,10017,11307,271,288,341,0,0,0,1,3,4,0,0,0,1
14,437,1,1,1,8770,5769,13883,264,391,326,0,0,0,1,2,2,0,0,0,1
15,465,1,1,1,8466,15642,12983,270,392,300,0,0,0,1,6,2,0,0,0,1
16,508,1,1,1,8499,9547,11434,312,339,354,0,0,0,3,4,3,0,0,0,1
17,557,1,1,1,10952,9101,9355,376,284,283,0,0,0,2,1,1,1,0,0,0
18,585,1,1,1,9273,12356,10209,262,378,306,0,1,0,1,4,2,0,0,0,1
19,619,1,1,1,10039,16248,17404,260,452,475,0,0,1,1,6,7,0,1,1,1
20,623,1,1,1,9292,9155,11270,327,286,349,0,0,0,4,1,3,0,0,0,1
21,629,1,1,1,9802,11865,10376,320,421,269,0,2,0,3,2,1,0,0,0,1
22,660,1,1,1,8551,10293,14263,269,272,350,0,0,0,1,1,3,0,0,0,1
23,700,1,1,1,12764,10465,10389,391,276,291,0,0,0,3,1,1,0,0,0,1
24,759,1,1,1,13754,13686,15843,401,328,439,0,0,2,3,2,4,0,0,0,1
25,857,1,1,1,16124,14110,11601,609,409,281,0,0,0,9,5,1,1,0,0,1
26,873,1,1,1,10083,11561,10897,428,375,278,0,1,0,1,5,1,0,0,0,1
27,901,1,1,1,10351,10429,10396,308,292,279,0,0,1,3,1,1,0,0,0,1
28,975,1,1,1,9744,11699,11991,353,375,388,0,0,0,4,4,4,0,0,0,1
29,991,1,1,1,9034,9616,11710,308,279,318,0,0,0,2,1,2,0,0,0,1
30,993,1,1,1,10351,11764,20080,294,299,570,0,0,2,2,2,9,0,0,1,1
31,1036,1,1,1,17805,16297,19012,522,441,625,0,0,0,7,4,11,2,1,0,1
32,1122,1,1,1,13535,11850,10686,440,316,285,6,0,0,5,2,1,0,0,0,1
33,1151,1,1,1,8838,12605,14186,272,374,455,0,0,1,1,4,9,0,0,0,1
34,1233,1,1,1,8739,15402,10789,268,491,299,0,0,0,1,6,2,0,1,0,1
35,1234,1,1,1,0,0,8488,303,303,329,0,0,0,1,1,1,0,0,0,0
36,1244,1,1,1,8309,12154,13677,274,343,362,0,0,0,1,2,3,0,0,0,1
37,1249,1,1,1,0,0,8676,303,303,288,0,0,0,1,1,1,0,0,0,0
38,1255,1,1,1,0,947,10995,303,426,281,0,0,1,1,0,1,0,0,0,1
39,1262,1,1,1,0,0,9857,303,303,303,0,0,0,1,1,2,0,0,0,0
40,1307,1,1,1,11799,12412,12672,404,333,306,0,0,0,4,2,2,1,0,0,1
41,1354,1,1,1,7544,9632,12265,309,289,339,0,0,0,3,1,3,0,0,0,1
42,1362,1,1,1,0,0,8040,303,278,273,0,0,0,1,0,1,0,0,0,0
43,1422,1,1,1,0,11170,11381,303,297,310,0,0,0,1,2,1,0,0,0,1
44,1437,1,1,1,0,0,10163,303,303,370,0,0,0,1,1,4,0,0,0,1
45,1441,1,1,1,9965,12373,10823,432,351,282,0,0,0,7,4,1,0,0,0,1
46,1455,1,1,1,0,2014,10717,303,347,300,0,0,0,1,0,2,0,0,0,1
47,1456,1,1,1,8176,10477,10993,277,325,358,0,0,1,1,2,5,0,0,0,1
