vaca,estado,estado_ginecol,patio,fecha_de_naci,lact_n,del,mastitis_lac_1,mastitis_lac_2,mastitis_lac_3,mastitis_lac_4,mastitis_lac_5,mastitis_lac_6,mastitis_lac_7,mastitis_lac_8,mastitis_lac_9
5,ordeno,prenez,13,9/16/2016,4,265,0,0,0,0,-1,-1,-1,-1,-1
9,ordeno,celo,24,10/11/2016,4,253,0,0,0,0,-1,-1,-1,-1,-1
16,ordeno,parto,19,11/15/2016,4,63,0,0,0,0,-1,-1,-1,-1,-1
27,ordeno,celo,20,12/4/2017,3,48,0,0,0,-1,-1,-1,-1,-1,-1
121,ordeno,prenez,15,8/6/2013,7,159,0,0,0,0,1,0,0,-1,-1
160,ordeno,parto,21,8/19/2013,6,2,0,0,0,0,0,0,-1,-1,-1
190,seca,prenez,84,8/24/2013,6,524,0,0,1,0,0,0,-1,-1,-1
219,ordeno,parto,18,8/30/2013,7,105,0,0,1,1,2,0,0,-1,-1
222,ordeno,prenez,15,8/31/2013,7,177,0,0,0,2,0,0,0,-1,-1
229,ordeno,prenez,17,9/2/2013,7,145,0,0,0,0,1,1,0,-1,-1
252,ordeno,parto,21,9/5/2013,6,14,0,0,0,1,1,0,-1,-1,-1
254,ordeno,celo,26,9/5/2013,6,295,0,0,0,0,0,0,-1,-1,-1
297,ordeno,prenez,17,9/17/2013,7,128,2,1,0,0,0,0,0,-1,-1
301,ordeno,prenez,13,9/17/2013,7,279,0,0,0,0,0,0,0,-1,-1
437,ordeno,inseminacion,19,10/13/2013,6,90,0,0,0,0,0,0,-1,-1,-1
465,ordeno,inseminacion,20,10/18/2013,7,102,0,0,0,1,0,1,1,-1,-1
508,ordeno,prenez,15,10/23/2013,7,177,0,0,0,0,0,0,0,-1,-1
557,seca,prenez,1,11/1/2013,6,462,0,0,0,0,0,0,-1,-1,-1
585,ordeno,celo,25,11/7/2013,6,231,0,1,0,2,1,0,-1,-1,-1
619,ordeno,para_no_inseminar,26,11/16/2013,6,268,0,0,1,3,1,1,-1,-1,-1
623,ordeno,prenez,14,11/17/2013,7,199,0,0,0,0,0,0,0,-1,-1
