total_production_1,total_production_2,total_production_3,total_production_4,total_production_5,total_production_6,total_production_7,total_production_8,total_production_9,total,index
7817,9123,9129,8432,0,0,0,0,0,34501,0
7793,10019,7907,8079,0,0,0,0,0,33798,0
10402,10293,10363,2655,0,0,0,0,0,33713,0
9367,11250,2090,0,0,0,0,0,0,22707,0
11491,12403,13318,12331,12893,11326,7259,0,0,81021,0
14931,10918,14033,15870,14493,0,0,0,0,70245,0
16175,12455,11677,11362,11609,15110,0,0,0,78388,0
12709,9773,11566,11686,12511,10953,4180,0,0,73378,0
12435,12122,12010,15109,13175,13500,8120,0,0,86471,0
10468,9924,9903,11367,11303,10000,6064,0,0,69029,0
14952,13743,13280,12178,17412,0,0,0,0,71565,0
13995,10299,12325,12981,14515,11180,0,0,0,75295,0
7510,9105,11698,10914,11609,8258,5316,0,0,64410,0
9453,10017,11307,11154,10208,9490,9377,0,0,71006,0
8770,5769,13883,20135,19414,4577,0,0,0,72548,0
8466,15642,12983,13303,15832,13137,3968,0,0,83331,0
8499,9547,11434,10426,10587,10345,7483,0,0,68321,0
10952,9101,9355,10792,11816,13121,0,0,0,65137,0
9273,12356,10209,14478,13933,8045,0,0,0,68294,0
10039,16248,17404,11476,9486,9126,0,0,0,73779,0
9292,9155,11270,9165,10494,9749,7222,0,0,66347,0
9802,11865,10376,11173,12365,14077,0,0,0,69658,0
8551,10293,14263,13964,15028,13143,0,0,0,75242,0
12764,10465,10389,12515,6039,11253,9581,0,0,73006,0
13754,13686,15843,16781,12954,4387,0,0,0,77405,0
16124,14110,11601,9530,13513,0,0,0,0,64878,0
10083,11561,10897,10271,11823,9935,0,0,0,64570,0
10351,10429,10396,10921,11988,11463,7626,0,0,73174,0
9744,11699,11991,13769,8903,5994,0,0,0,62100,0
9034,9616,11710,13574,13322,12521,0,0,0,69777,0
10351,11764,20080,22182,11234,0,0,0,0,75611,0
17805,16297,19012,12588,0,0,0,0,0,65702,0
13535,11850,10686,12922,14921,916,0,0,0,64830,0
8838,12605,14186,12692,11229,5041,0,0,0,64591,0
8739,15402,10789,15219,12285,0,0,0,0,62434,0
0,0,8488,11573,6822,0,0,0,0,26883,0
8309,12154,13677,16865,10632,8391,0,0,0,70028,0
0,0,8676,11898,5514,0,0,0,0,26088,0
0,947,10995,11604,7081,0,0,0,0,30627,0
0,0,9857,10970,11465,0,0,0,0,32292,0
11799,12412,12672,17083,13210,0,0,0,0,67176,0
7544,9632,12265,14992,12067,6059,0,0,0,62559,0
0,0,8040,9858,1210,0,0,0,0,19108,0
0,11170,11381,6914,0,0,0,0,0,29465,0
0,0,10163,9543,5515,0,0,0,0,25221,0
9965,12373,10823,12171,10028,8942,0,0,0,64302,0
0,2014,10717,10478,5309,0,0,0,0,28518,0
8176,10477,10993,11847,12111,4184,0,0,0,57788,0
8659,10955,11373,11423,9352,8084,0,0,0,59846,0
0,14057,10368,3754,0,0,0,0,0,28179,0
0,11107,11755,5184,0,0,0,0,0,28046,0
0,10308,9616,9457,0,0,0,0,0,29381,0
17228,13121,12724,10388,9770,0,0,0,0,63231,0
15130,14741,15881,14585,13507,0,0,0,0,73844,0
12816,15074,9789,12502,14810,0,0,0,0,64991,0
0,11081,10793,8001,0,0,0,0,0,29875,0
11078,11716,11720,12155,14701,1332,0,0,0,62702,0
0,8008,9862,4611,0,0,0,0,0,22481,0
11340,13257,14176,13087,12480,11884,0,0,0,76224,0
0,12473,10684,2605,0,0,0,0,0,25762,0
9734,12302,12213,10334,9571,0,0,0,0,54154,0
0,8544,11023,4924,0,0,0,0,0,24491,0
0,12041,14282,6864,0,0,0,0,0,33187,0
8668,10128,12248,14009,12289,0,0,0,0,57342,0
9630,11005,12363,9777,7780,8355,0,0,0,58910,0
8243,10971,12864,11405,10722,5966,0,0,0,60171,0
10267,12616,11521,14884,10967,6968,0,0,0,67223,0
13109,10482,9651,9797,9273,5859,0,0,0,58171,0
8061,10411,10828,13296,12055,6242,0,0,0,60893,0
18130,13591,13177,14425,8101,0,0,0,0,67424,0
11214,15355,15201,13575,8218,0,0,0,0,63563,0
16075,16945,18838,13954,0,0,0,0,0,65812,0
1584,8787,5616,6139,0,0,0,0,0,22126,0
1661,9661,9081,2801,0,0,0,0,0,23204,0
1312,9529,8644,4743,0,0,0,0,0,24228,0
2833,10093,11391,904,0,0,0,0,0,25221,0
3165,8110,9038,1795,0,0,0,0,0,22108,0
10097,12204,11127,7904,14095,28,0,0,0,55455,0
6907,6113,5714,0,0,0,0,0,0,18734,0
12435,10929,2256,0,0,0,0,0,0,25620,0
6629,9329,11362,0,0,0,0,0,0,27320,0
9699,12213,12357,13935,11330,9462,0,0,0,68996,0
10669,13550,2582,0,0,0,0,0,0,26801,0
12458,8719,4224,0,0,0,0,0,0,25401,0
13165,15217,11548,15973,10376,0,0,0,0,66279,0
12322,17581,16950,12154,10893,0,0,0,0,69900,0
11008,9632,5012,0,0,0,0,0,0,25652,0
8628,10377,19,0,0,0,0,0,0,19024,0
9424,9852,6694,0,0,0,0,0,0,25970,0
8794,9549,10073,9534,8975,7430,0,0,0,54355,0
6889,8999,9266,0,0,0,0,0,0,25154,0
6983,8445,8456,0,0,0,0,0,0,23884,0
13792,12005,0,0,0,0,0,0,0,25797,0
14971,11819,5441,0,0,0,0,0,0,32231,0
6844,10851,6055,0,0,0,0,0,0,23750,0
14616,13512,13663,12859,0,0,0,0,0,54650,0
7895,8659,8250,0,0,0,0,0,0,24804,0
7749,13587,12437,13090,11196,2518,0,0,0,60577,0
7222,11365,10391,10305,10701,5397,0,0,0,55381,0
20633,7745,0,0,0,0,0,0,0,28378,0
7273,8107,7262,0,0,0,0,0,0,22642,0
11603,9649,0,0,0,0,0,0,0,21252,0
9950,9827,4579,0,0,0,0,0,0,24356,0
12712,9429,2473,0,0,0,0,0,0,24614,0
8135,9476,15345,10849,13599,0,0,0,0,57404,0
14706,8528,0,0,0,0,0,0,0,23234,0
14770,15712,11102,7326,7622,0,0,0,0,56532,0
7967,9007,4246,0,0,0,0,0,0,21220,0
11367,9963,0,0,0,0,0,0,0,21330,0
13518,12254,0,0,0,0,0,0,0,25772,0
9497,10273,8804,17829,12810,0,0,0,0,59213,0
7076,11469,3125,0,0,0,0,0,0,21670,0
9052,7684,4356,0,0,0,0,0,0,21092,0
11070,13319,13634,15684,14318,7706,0,0,0,75731,0
9334,9584,6035,0,0,0,0,0,0,24953,0
14709,10321,0,0,0,0,0,0,0,25030,0
8302,9684,1763,0,0,0,0,0,0,19749,0
13194,9925,0,0,0,0,0,0,0,23119,0
8870,10063,0,0,0,0,0,0,0,18933,0
11931,9854,0,0,0,0,0,0,0,21785,0
9718,6458,0,0,0,0,0,0,0,16176,0
11074,11423,11243,11433,13488,0,0,0,0,58661,0
7378,9685,0,0,0,0,0,0,0,17063,0
7516,7592,10518,9053,9381,6946,0,0,0,51006,0
9801,11225,0,0,0,0,0,0,0,21026,0
11011,12344,16032,9461,9793,0,0,0,0,58641,0
7336,10027,10267,9524,9045,8106,0,0,0,54305,0
9382,9548,0,0,0,0,0,0,0,18930,0
10785,7585,0,0,0,0,0,0,0,18370,0
13826,6966,0,0,0,0,0,0,0,20792,0
11330,7165,0,0,0,0,0,0,0,18495,0
7481,4646,0,0,0,0,0,0,0,12127,0
8784,9231,0,0,0,0,0,0,0,18015,0
10577,12503,13668,11883,13544,2893,0,0,0,65068,0
9801,7300,0,0,0,0,0,0,0,17101,0
7700,12425,0,0,0,0,0,0,0,20125,0
11420,11840,0,0,0,0,0,0,0,23260,0
9142,5723,0,0,0,0,0,0,0,14865,0
7768,10263,0,0,0,0,0,0,0,18031,0
11808,1033,0,0,0,0,0,0,0,12841,0
10248,11456,15144,17187,7853,0,0,0,0,61888,0
10141,12273,0,0,0,0,0,0,0,22414,0
9962,9839,0,0,0,0,0,0,0,19801,0
7656,9460,0,0,0,0,0,0,0,17116,0
8487,12863,0,0,0,0,0,0,0,21350,0
11818,9902,9894,11878,11841,901,0,0,0,56234,0
8189,11463,9290,11702,10802,6406,0,0,0,57852,0
7805,8337,9485,9034,11500,4904,0,0,0,51065,0
9815,7064,0,0,0,0,0,0,0,16879,0
7876,9607,0,0,0,0,0,0,0,17483,0
9060,7064,0,0,0,0,0,0,0,16124,0
13276,5005,0,0,0,0,0,0,0,18281,0
8575,9442,0,0,0,0,0,0,0,18017,0
10832,9291,12639,11837,10189,7266,0,0,0,62054,0
7085,9042,0,0,0,0,0,0,0,16127,0
8278,9965,11114,10019,11010,6194,0,0,0,56580,0
10734,9970,9822,15316,8941,0,0,0,0,54783,0
