id,lactation_1,lactation_2,lactation_3,lactation_4,lactation_5,lactation_6,lactation_7,lactation_8,lactation_9,total_production_1,total_production_2,total_production_3,total_production_4,total_production_5,total_production_6,total_production_7,total_production_8,total_production_9,milk_days_1,milk_days_2,milk_days_3,milk_days_4,milk_days_5,milk_days_6,milk_days_7,milk_days_8,milk_days_9,vaca_x,mastitis_lac_1,mastitis_lac_2,mastitis_lac_3,mastitis_lac_4,mastitis_lac_5,mastitis_lac_6,mastitis_lac_7,mastitis_lac_8,mastitis_lac_9,vaca_y,inseminacion_lac_1,inseminacion_lac_2,inseminacion_lac_3,inseminacion_lac_4,inseminacion_lac_5,inseminacion_lac_6,inseminacion_lac_7,inseminacion_lac_8,inseminacion_lac_9,abortos_Lac_1,abortos_lac_2,abortos_lac_3,abortos_lac_4,abortos_lac_5,abortos_lac_6,abortos_lac_7,abortos_lac_8,abortos_lac_9
9,1,1,1,1,0,0,0,0,0,7793,10019,7907,8079,0,0,0,0,0,290,322,272,251,0,0,0,0,0,9,0,0,0,0,-1,-1,-1,-1,-1,9,1,3,1,2,-1,-1,-1,-1,-1,0,0,0,1,-1,-1,-1,-1,-1
16,1,1,1,1,0,0,0,0,0,10402,10293,10363,2655,0,0,0,0,0,340,392,310,61,0,0,0,0,0,16,0,0,0,0,-1,-1,-1,-1,-1,16,2,2,1,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
27,1,1,1,0,0,0,0,0,0,9367,11250,2090,0,0,0,0,0,0,334,403,46,0,0,0,0,0,0,27,0,0,0,-1,-1,-1,-1,-1,-1,27,2,5,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1
121,1,1,1,1,1,1,1,0,0,11491,12403,13318,12331,12893,11326,7259,0,0,343,294,342,301,349,303,157,0,0,121,0,0,0,0,1,0,0,-1,-1,121,4,2,4,2,2,3,1,-1,-1,0,0,0,0,0,0,0,-1,-1
160,1,1,1,1,1,0,0,0,0,14931,10918,14033,15870,14493,0,0,0,0,501,291,404,470,453,0,0,0,0,160,0,0,0,0,0,0,-1,-1,-1,160,8,1,5,7,8,0,-1,-1,-1,1,0,0,0,0,0,-1,-1,-1
190,1,1,1,1,1,1,0,0,0,16175,12455,11677,11362,11609,15110,0,0,0,538,304,287,281,275,523,0,0,0,190,0,0,1,0,0,0,-1,-1,-1,190,5,2,1,1,1,5,-1,-1,-1,1,0,0,0,0,0,-1,-1,-1
219,1,1,1,1,1,1,1,0,0,12709,9773,11566,11686,12511,10953,4180,0,0,401,271,295,299,402,327,103,0,0,219,0,0,1,1,2,0,0,-1,-1,219,5,1,1,2,3,1,0,-1,-1,0,0,0,0,0,0,0,-1,-1
222,1,1,1,1,1,1,1,0,0,12435,12122,12010,15109,13175,13500,8120,0,0,352,344,276,341,309,338,175,0,0,222,0,0,0,2,0,0,0,-1,-1,222,5,4,1,3,2,3,1,-1,-1,0,0,0,0,0,0,0,-1,-1
229,1,1,1,1,1,1,1,0,0,10468,9924,9903,11367,11303,10000,6064,0,0,291,283,315,371,321,388,143,0,0,229,0,0,0,0,1,1,0,-1,-1,229,2,2,2,7,3,2,1,-1,-1,0,0,0,0,0,0,0,-1,-1
252,1,1,1,1,1,1,0,0,0,14952,13743,13280,12178,17412,0,0,0,0,497,459,354,324,535,12,0,0,0,252,0,0,0,1,1,0,-1,-1,-1,252,9,6,4,3,10,0,-1,-1,-1,0,0,0,0,1,0,-1,-1,-1
254,1,1,1,1,1,1,0,0,0,13995,10299,12325,12981,14515,11180,0,0,0,457,264,322,336,443,293,0,0,0,254,0,0,0,0,0,0,-1,-1,-1,254,6,1,2,3,7,5,-1,-1,-1,1,0,0,0,0,1,-1,-1,-1
301,1,1,1,1,1,1,1,0,0,9453,10017,11307,11154,10208,9490,9377,0,0,271,288,341,293,282,272,277,0,0,301,0,0,0,0,0,0,0,-1,-1,301,1,3,4,2,1,1,2,-1,-1,0,0,0,0,0,0,0,-1,-1
465,1,1,1,1,1,1,1,0,0,8466,15642,12983,13303,15832,13137,3968,0,0,270,392,300,321,347,467,100,0,0,465,0,0,0,1,0,1,1,-1,-1,465,1,6,2,2,3,6,1,-1,-1,0,0,0,0,0,0,0,-1,-1
557,1,1,1,1,1,1,0,0,0,10952,9101,9355,10792,11816,13121,0,0,0,376,284,283,307,356,461,0,0,0,557,0,0,0,0,0,0,-1,-1,-1,557,2,1,1,2,3,5,-1,-1,-1,1,0,0,0,0,0,-1,-1,-1
585,1,1,1,1,1,1,0,0,0,9273,12356,10209,14478,13933,8045,0,0,0,262,378,306,423,505,229,0,0,0,585,0,1,0,2,1,0,-1,-1,-1,585,1,4,2,4,6,6,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1
619,1,1,1,1,1,1,0,0,0,10039,16248,17404,11476,9486,9126,0,0,0,260,452,475,356,263,266,0,0,0,619,0,0,1,3,1,1,-1,-1,-1,619,1,6,7,2,1,1,-1,-1,-1,0,1,1,0,0,0,-1,-1,-1
629,1,1,1,1,1,1,0,0,0,9802,11865,10376,11173,12365,14077,0,0,0,320,421,269,281,333,477,0,0,0,629,0,2,0,0,0,2,-1,-1,-1,629,3,2,1,1,2,7,-1,-1,-1,0,0,0,0,0,1,-1,-1,-1
660,1,1,1,1,1,1,1,0,0,8551,10293,14263,13964,15028,13143,0,0,0,269,272,350,335,423,377,14,0,0,660,0,0,0,0,0,0,0,-1,-1,660,1,1,3,2,4,3,0,-1,-1,0,0,0,0,1,0,0,-1,-1
700,1,1,1,1,1,1,1,0,0,12764,10465,10389,12515,6039,11253,9581,0,0,391,276,291,305,300,286,246,0,0,700,0,0,0,0,1,0,0,-1,-1,700,3,1,1,2,1,1,2,-1,-1,0,0,0,0,0,0,0,-1,-1
759,1,1,1,1,1,1,0,0,0,13754,13686,15843,16781,12954,4387,0,0,0,401,328,439,436,341,94,0,0,0,759,0,0,2,1,2,0,-1,-1,-1,759,3,2,4,3,2,1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1
857,1,1,1,1,1,0,0,0,0,16124,14110,11601,9530,13513,0,0,0,0,609,409,281,314,493,0,0,0,0,857,0,0,0,0,0,-1,-1,-1,-1,857,9,5,1,2,8,-1,-1,-1,-1,1,0,0,0,0,-1,-1,-1,-1
