,index,id,Status,gynecological_status,patio,given_birthdate,lactation,milk_days,number_mastitis_lactation_1,number_mastitis_lactation_2,number_mastitis_lactation_3,number_mastitis_lactation_4,number_mastitis_lactation_5,number_mastitis_lactation_6,number_mastitis_lactation_7,number_mastitis_lactation_8,number_mastitis_lactation_9,lactation_1,lactation_2,lactation_3,lactation_4,lactation_5,lactation_6,lactation_7,lactation_8,lactation_9,total_production_1,total_production_2,total_production_3,total_production_4,total_production_5,total_production_6,total_production_7,total_production_8,total_production_9,milk_days_1,milk_days_2,milk_days_3,milk_days_4,milk_days_5,milk_days_6,milk_days_7,milk_days_8,milk_days_9,vaca_x,mastitis_lac_1,mastitis_lac_2,mastitis_lac_3,mastitis_lac_4,mastitis_lac_5,mastitis_lac_6,mastitis_lac_7,mastitis_lac_8,mastitis_lac_9,vaca_y,inseminacion_lac_1,inseminacion_lac_2,inseminacion_lac_3,inseminacion_lac_4,inseminacion_lac_5,inseminacion_lac_6,inseminacion_lac_7,inseminacion_lac_8,inseminacion_lac_9,abortos_Lac_1,abortos_lac_2,abortos_lac_3,abortos_lac_4,abortos_lac_5,abortos_lac_6,abortos_lac_7,abortos_lac_8,abortos_lac_9
0,1,5,milking,pregnacy,13,9/16/2016,4,265,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,7817,9123,9129,8432,0,0,0,0,0,288,319,271,263,0,0,0,0,0,5,0,0,0,0,-1,-1,-1,-1,-1,5,1,3,1,2,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
1,2,9,milking,heat,24,10/11/2016,4,253,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,7793,10019,7907,8079,0,0,0,0,0,290,322,272,251,0,0,0,0,0,9,0,0,0,0,-1,-1,-1,-1,-1,9,1,3,1,2,-1,-1,-1,-1,-1,0,0,0,1,-1,-1,-1,-1,-1
2,3,16,milking,labor,19,11/15/2016,4,63,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,10402,10293,10363,2655,0,0,0,0,0,340,392,310,61,0,0,0,0,0,16,0,0,0,0,-1,-1,-1,-1,-1,16,2,2,1,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
3,4,27,milking,heat,20,12/4/2017,3,48,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,9367,11250,2090,0,0,0,0,0,0,334,403,46,0,0,0,0,0,0,27,0,0,0,-1,-1,-1,-1,-1,-1,27,2,5,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1
4,5,121,milking,pregnacy,15,8/6/2013,7,159,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,11491,12403,13318,12331,12893,11326,7259,0,0,343,294,342,301,349,303,157,0,0,121,0,0,0,0,1,0,0,-1,-1,121,4,2,4,2,2,3,1,-1,-1,0,0,0,0,0,0,0,-1,-1
5,6,160,milking,labor,21,8/19/2013,6,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,14931,10918,14033,15870,14493,0,0,0,0,501,291,404,470,453,0,0,0,0,160,0,0,0,0,0,0,-1,-1,-1,160,8,1,5,7,8,0,-1,-1,-1,1,0,0,0,0,0,-1,-1,-1
6,7,190,dry,pregnacy,84,8/24/2013,6,524,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,16175,12455,11677,11362,11609,15110,0,0,0,538,304,287,281,275,523,0,0,0,190,0,0,1,0,0,0,-1,-1,-1,190,5,2,1,1,1,5,-1,-1,-1,1,0,0,0,0,0,-1,-1,-1
7,8,219,milking,labor,18,8/30/2013,7,105,0,0,1,1,2,0,0,0,0,1,1,1,1,1,1,1,0,0,12709,9773,11566,11686,12511,10953,4180,0,0,401,271,295,299,402,327,103,0,0,219,0,0,1,1,2,0,0,-1,-1,219,5,1,1,2,3,1,0,-1,-1,0,0,0,0,0,0,0,-1,-1
8,9,222,milking,pregnacy,15,8/31/2013,7,177,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,0,0,12435,12122,12010,15109,13175,13500,8120,0,0,352,344,276,341,309,338,175,0,0,222,0,0,0,2,0,0,0,-1,-1,222,5,4,1,3,2,3,1,-1,-1,0,0,0,0,0,0,0,-1,-1
9,10,229,milking,pregnacy,17,9/2/2013,7,145,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,10468,9924,9903,11367,11303,10000,6064,0,0,291,283,315,371,321,388,143,0,0,229,0,0,0,0,1,1,0,-1,-1,229,2,2,2,7,3,2,1,-1,-1,0,0,0,0,0,0,0,-1,-1
